Countries,Gold medal prize,Silver medal prize,Bronze medal prize,Note,GDP per capita (latest),GDP(PPP) per capita (latest),Annual minimum wage(USD),Annual minimum wage at PPP(USD),Hourly minimum wage(USD),Hourly minimum wage at PPP(USD),Annual average wage (OECD),Monthly average wage (UNECE),Annual average wage,Years of GDP per capita for gold prize,Years to work for gold prize on minimum wage,Years to work for gold prize on average wage
:au: Australia,20000.0,15000.0,10000.0,[1],66589.0,66627.0,34515.0,28691.0,17.47,14.52,63926.0,,63926.0,0.3003499076424034,0.5794582065768507,0.3128617463942684
:at: Austria,18296.0,14000.0,11838.0,"As a reward for their achievements, the gold medal winners receive Philharmonic coins worth €17,000. Silver medalists received €13,000, bronze medalists received €11,000 each.[5]",59225.0,69460.0,,,,,67431.0,4312.0,67431.0,0.3089235964542001,,0.27132921060046566
:az: Azerbaijan,235000.0,117500.0,58750.0,"AZN 400,000, AZN 200,000 and AZN 100,000, for gold, silver and bronze, respectively, as of the 2016 Rio Olympics.[6]",7641.0,19328.0,2435.0,11829.0,1.17,5.69,,494.0,5928.0,30.7551367622039,96.50924024640658,39.64237516869096
:be: Belgium,54606.0,32764.0,21843.0,"€50,000, €30,000, €20,000, for gold, silver and bronze, respectively, as of the 2024 Paris Olympics.[7]",55536.0,68079.0,28809.0,27680.0,14.58,14.01,69874.0,4560.0,69874.0,0.9832541054451167,1.8954493387483078,0.7814924006068066
:br: Brazil,49000.0,29000.0,20000.0,[1],11352.0,20809.0,3406.0,8382.0,1.49,3.66,,,,4.316420014094433,14.386376981796829,
:bg: Bulgaria,99000.0,72806.0,54605.0,[1],16943.0,35963.0,7034.0,15475.0,3.38,7.44,,947.0,11364.0,5.843121052942218,14.074495308501564,8.711721224920803
:ca: Canada,16000.0,12000.0,8000.0,"CAD $20,000, CAD $15,000 and CAD $10,000, for gold, silver and bronze, respectively.[8][9]",54866.0,60495.0,24128.0,22176.0,11.6,10.66,63398.0,5081.0,63398.0,0.29161958225494844,0.6631299734748011,0.2523738919208808
:dk: Denmark,15962.0,11971.0,7981.0,[1],68898.0,77641.0,,,,,65612.0,5642.0,65612.0,0.2316758106185956,,0.24327866853624336
:ec: Ecuador,150000.0,125000.0,100000.0,"Before August 1, 2024 values were USD 100.000 (gold), USD 80.000 (silver) y USD 60.000 (bronze)",6567.0,14485.0,5980.0,9803.0,2.88,4.71,,,,22.841480127912288,25.08361204013378,
:ee: Estonia,117500.0,82250.0,52000.0,"€100,000, €70,000 and €45,000, for gold, silver and bronze, respectively. Prize money is doubled in the case a medal is won by a team of four or more individuals.[10]",31855.0,45122.0,10578.0,14662.0,5.09,7.05,34525.0,1772.0,34525.0,3.6885889185371212,11.10795991680847,3.4033309196234613
:fi: Finland,59342.0,35605.0,23737.0,[1],55127.0,60851.0,,,,,55048.0,4090.0,55048.0,1.0764598109819146,,1.078004650486848
:fj: Fiji,50000.0,20000.0,10000.0,[11],6287.0,17403.0,3232.0,5226.0,1.29,2.09,,,,7.952918721170669,15.470297029702971,
:fr: France,86670.0,43335.0,21667.0,"€80,000 / €40,000 / €20,000[12]",47359.0,60339.0,24259.0,23576.0,13.33,12.95,55680.0,3655.0,55680.0,1.8300639793914568,3.5726946700193745,1.556573275862069
:ge: Georgia,318000.0,159000.0,79500.0,"GEL1,000,000, GEL500,000 and GEL250,000 for gold, silver and bronze, respectively. [13]",8825.0,25248.0,93.0,353.0,0.04,0.17,,529.0,6348.0,36.03399433427762,3419.3548387096776,50.0945179584121
:de: Germany,22000.0,17000.0,11000.0,[14],54291.0,67245.0,30529.0,31100.0,14.68,14.95,62473.0,3984.0,62473.0,0.40522370190270945,0.7206262897572799,0.35215212972003906
:gb: United Kingdom,0.0,0.0,0.0,"Annual stipend of $36,000 to each athlete.[14]",51075.0,58880.0,32596.0,29744.0,15.67,14.3,55173.0,4179.0,55173.0,0.0,0.0,0.0
:gr: Greece,100000.0,55000.0,44000.0,"90.000€ Gold, 50.000€ Silver, 40.000€ Bronze. [1]",23966.0,41188.0,13738.0,17082.0,6.6,8.21,28727.0,1417.0,28727.0,4.1725778185763165,7.279079924297569,3.4810457061301214
